id,text,aspect,sentiment,reason
116,"The laces are way too short; if you use the extra eyelet for a runner's loop, there isn't enough lace left to actually tie a secure knot. It’s a small detail, but a very frustrating one for a shoe at this price level.",design,Negative,insufficient lace length for secure tying
117,I've noticed a strange squeaking sound coming from the left heel every time I step on a hard surface like tile or hardwood. It’s incredibly embarrassing to walk through a quiet hallway at work sounding like a wet floor toy.,durability,Negative,annoying squeaking noise from the heel area
118,"The transition from heel to toe feels very smooth while running, which has really helped my cadence. You can tell a lot of engineering went into the geometry of the sole to help propel the runner forward effortlessly.",comfort,Positive,smooth heel-to-toe transition for runners
119,"I ordered the ""Sunset Orange"" but the shoes I received are much closer to a bright, almost neon pink. It's a huge discrepancy from the product listing and I'll be returning them because they don't match any of my gear.",color,Negative,significant color discrepancy from product listing
120,"The overall value is questionable because while they are comfortable, the materials feel very ""plasticky"" and cheap compared to other brands in the same price bracket. I don't feel like I'm wearing a premium product.",price/value,Negative,cheap material feel doesn't match premium price
121,"These shoes are a bit of a mixed bag; the length is fine but they are so narrow that my feet feel like they are being squeezed in a vise. If you have even slightly wide feet, you should definitely avoid this specific model.",sizing,Negative,overly narrow width causing discomfort
122,"I love the reflective accents on the design; as someone who often runs late at night, I feel much safer knowing that I’m more visible to cars. It’s a great safety feature that doesn't compromise the style of the shoe.",design,Positive,functional reflective accents for night safety
123,"The internal lining is incredibly soft, almost like a second skin, which means I can wear these without socks for quick trips to the store without worrying about any rubbing or skin irritation.",comfort,Positive,soft internal lining allows for sockless wear
124,Only two weeks in and the pull tab on the back of the shoe snapped off while I was putting them on. I wasn't even pulling that hard! Now I have a ragged piece of fabric hanging off the back of my expensive new sneakers.,durability,Negative,fragile pull tab snapped under normal use
125,I'm quite happy with the price I paid; getting a shoe with this level of carbon-fiber technology for under $200 is a great deal compared to what the competitors are charging for similar performance specs.,price/value,Positive,competitive pricing for carbon-fiber technology
126,"The padding around the ankle is a bit thin for my liking; after an hour of basketball, my ankles felt a bit sore from the lack of support. I think these are better suited for casual walking than actual high-impact sports.",comfort,Neutral,insufficient ankle padding for high-impact use
127,"The size chart on the Nima website is completely wrong for this line. I measured my foot exactly as instructed, but the shoes were still a full size too small. This is going to cause a lot of unnecessary returns.",sizing,Negative,inaccurate online size chart leading to wrong fit
128,"I really appreciate the minimalist aesthetic; there aren't any huge, gaudy logos or bright, clashing colors. It’s a very sophisticated look that works for people who want to look stylish without being too ""loud.""",design,Positive,sophisticated and minimalist aesthetic
129,"After walking through some wet grass, the water soaked right through the mesh almost instantly. I know they aren't waterproof, but I expected at least a little bit of resistance for a shoe designed for the outdoors.",durability,Negative,zero water resistance in the mesh upper
130,"The color is fine, I suppose, but it's very ""standard."" It doesn't have that premium depth or ""pop"" that you see in the professional marketing videos. It just looks like any other grey sneaker you'd find at a discount store.",color,Neutral,average color depth lacks premium feel
131,"I have wide feet and usually struggle with Nima, but this new wide-fit version is a game changer. There is plenty of room for my toes to splay out naturally, and I don't feel any of the usual pinching on the sides.",sizing,Positive,excellent wide-fit option with ample toe room
132,"The tongue of the shoe is very thin and has a tendency to slide down into the shoe or off to the side while I'm moving, which requires me to constantly stop and readjust my laces to fix it.",comfort,Negative,sliding thin tongue requires constant adjustment
133,"For the high price, I was hoping for a more durable box and presentation. The shoes arrived in a crushed cardboard box with no extra laces or even a dust bag. It just didn't feel like a ""luxury"" unboxing experience.",price/value,Negative,poor packaging and lack of extras for the price
134,I've had these for six months and the sole hasn't worn down at all despite me wearing them almost every single day on asphalt. The durability of the outsole compound Nima used here is truly impressive.,durability,Positive,long-lasting outsole durability on asphalt
135,"The design is okay, but the plastic overlays on the side look a bit cheap when you see them in person. They have a bit of a shiny, ""toy-like"" finish that wasn't really apparent in the professional studio shots.",design,Neutral,plastic overlays look cheaper in person than photos
136,"The weight of the shoe is so light it's almost hard to believe, which makes them perfect for long-distance travel when you're walking through airports for hours. My legs definitely felt less fatigued than usual.",comfort,Positive,ultra-lightweight design reduces leg fatigue
137,"My main issue is the sizing consistency; I bought two different colors of the same shoe in size 11, and the black pair fits perfectly while the white pair is noticeably tighter and shorter. How does that even happen?",sizing,Negative,inconsistent sizing between different colorways
138,I noticed that the fabric inside the heel began pilling and wearing a hole through after just three weeks of use. Now the plastic structural piece is rubbing against my heel and making the shoes unwearable.,durability,Negative,interior heel lining pilling and wearing through
139,"The ""Forest Green"" is actually more of a ""Teal"" or ""Emerald."" It’s a beautiful color and I’ve decided to keep them, but if you are strictly looking for a dark olive or hunter green, you will be disappointed.",color,Neutral,color is beautiful but inaccurate to the name
140,"I think these are the best looking sneakers Nima has released in a decade. The retro-modern blend is executed perfectly, and they look great with both joggers and slim-fit denim.",design,Positive,perfect blend of retro and modern design
141,"The price is definitely on the high side, but given that these are carbon-neutral and made in a fair-wage factory, I’m willing to pay the extra $40 to support ethical manufacturing processes.",price/value,Positive,premium price justified by ethical manufacturing
142,"These sneakers are surprisingly loud on certain surfaces. Every time I walk on the polished concrete floors at my gym, it sounds like I'm wearing suction cups on my feet. It's very distracting during a workout.",comfort,Negative,noisy operation on polished surfaces
143,"The toe box is extremely pointed, which looks sharp, but it pinches my toes together in a way that becomes quite painful after about thirty minutes. Not recommended for anyone with a wider forefoot.",sizing,Negative,pointed toe box pinches the forefoot
144,"I’ve taken these through mud, rain, and gravel over the last month and they still look brand new. The material used for the upper is incredibly resilient and doesn't seem to hold onto stains at all.",durability,Positive,highly resilient and stain-resistant upper
145,"While the design is striking, the ""wings"" on the side of the shoe are purely aesthetic and actually make it a bit difficult to tighten the laces properly around the midfoot area.",design,Negative,aesthetic features interfere with lace tightening
146,The cushioning is so soft that it actually feels a bit unstable for lateral movements. I tried wearing them for a HIIT class and felt like my ankles were going to roll because the foam compressed too much.,comfort,Negative,overly soft foam causes lateral instability
147,"I feel like the value is average; you're definitely paying for the Nima logo, but the shoe itself doesn't offer anything significantly better than a mid-range shoe from a smaller, less famous brand.",price/value,Neutral,"average value with a ""brand name"" premium"
148,"The color is exactly what I wanted! It's a very specific shade of ""Sand"" that is hard to find, and it looks exactly like the digital swatch on the website. No surprises here, just a great looking shoe.",color,Positive,accurate color matching to digital swatch
149,"Sizing is a nightmare with this release. I usually wear a 12, ordered a 12.5 just in case, and I still can barely squeeze my foot in. It feels like they are using a completely different sizing standard for this line.",sizing,Negative,significant undersizing compared to standard
150,"The sole has a very aggressive tread pattern which is great for trail running, but the rubber compound is so soft that the lugs are already starting to round off after only two weeks of use on dirt paths.",durability,Negative,soft rubber lugs wearing down prematurely
151,"I’ve worn Nima for years and always trust my size 9, but these were so tight they actually made my toes go numb after just twenty minutes of walking around the house. It's frustrating because the length seems right, but the midfoot is incredibly restrictive.",sizing,Negative,restrictive midfoot and sizing inconsistency
152,The cushioning is honestly the best I’ve ever felt in a sneaker; it’s bouncy without feeling unstable. I did a five-mile run on asphalt and my knees didn't feel any of the usual impact stress.,comfort,Positive,superior impact absorption and bounce
153,"I am returning these today because the sole started peeling away from the toe box after just two days of casual wear. I haven't even taken them to the gym yet, so seeing them fall apart this fast is a huge red flag for the brand's quality control.",durability,Negative,premature sole delamination during casual use
154,"The ""Sunset Red"" color looks much more like a neon pink in person. It’s a very loud color that doesn't match the sophisticated, deep red shown in the online professional photography.",color,Negative,color saturation mismatch from online photos
155,These are some of the sharpest-looking shoes I've ever owned. The way the mesh overlays the reflective material is subtle but really pops under streetlights at night. Very stylish for both running and hanging out.,design,Positive,attractive mesh and reflective design
156,"For nearly $180, I expected the laces to be higher quality than these thin, flimsy strings that feel like they’re going to snap every time I try to get a secure lockdown. The value just isn't there for the price tag.",price/value,Negative,low-quality components relative to high price
157,"I followed the ""True Fit"" guide on the website which suggested a size 11, but I have a full thumb's width of extra space behind my heel. I’m constantly sliding around inside the shoe, which is a recipe for blisters.",sizing,Negative,inaccurate sizing guide leading to oversized fit
158,The inner lining is remarkably soft and doesn't have any intrusive seams. I’ve been wearing them without socks for short errands and haven't experienced any rubbing or hotspots on my skin.,comfort,Positive,seamless and soft inner lining
159,"After only three weeks, the tread on the bottom is already showing significant wear. I mostly walk on suburban sidewalks, so the rubber compound used here must be way too soft for daily use.",durability,Negative,rapid tread wear on standard surfaces
160,"The design is okay, but it feels a bit ""safe."" Nima used to be more experimental with their silhouettes, but this looks like a generic sneaker you could find at any big-box retailer.",design,Neutral,generic and uninspired design
161,"At this price point, you really can't beat the performance. They feel just as responsive as my $200 elite runners but at a fraction of the cost. A great choice for budget-conscious athletes.",price/value,Positive,high performance-to-price ratio
162,"The color is fine, but it seems to attract dirt like a magnet. I walked through a park once and the ""Arctic White"" is now a permanent shade of dingy grey that no amount of scrubbing can fix.",color,Neutral,material picks up stains and dirt too easily
163,"I had to return my first pair because the left shoe felt smaller than the right. I ordered a replacement, and the second pair had the exact same issue. There’s clearly something wrong with the manufacturing of this specific model.",sizing,Negative,asymmetrical sizing and manufacturing defects
164,These are a total game-changer for my plantar fasciitis. The arch support is positioned perfectly and provides just enough rigidity to keep my foot stable without feeling like I'm stepping on a rock.,comfort,Positive,effective arch support for foot pain
165,The eyelets for the laces are made of a very thin plastic that actually snapped while I was tightening them. Now the shoe is useless because I can't tie it securely. Absolute garbage build quality.,durability,Negative,fragile eyelets snapping under tension
166,I love the oversized pull-tab on the heel; it makes getting these on and off so much easier when I’m in a rush at the gym. It’s a small design detail that makes a big functional difference.,design,Positive,functional and convenient heel pull-tab
167,"I’m really disappointed with the ""Electric Yellow."" On my screen, it looked like a warm gold, but in person, it’s a greenish-yellow that looks quite sickly. It's going back to the warehouse immediately.",color,Negative,unpleasant color hue discrepancy
168,"Even though they are expensive, the fact that Nima offers a 12-month warranty on the sole makes me feel much better about the investment. You pay for the peace of mind.",price/value,Positive,warranty adds significant consumer value
169,"The width is perfect, but the height of the toe box is too low. It constantly presses down on my big toe, which becomes quite painful after about an hour of wear. I don't think sizing up would even fix this.",sizing,Negative,low-profile toe box causing top-of-foot pressure
170,"I noticed some significant fraying around the ankle collar after only a month of use. I always use a shoehorn, so it's not from me forcing my foot in—the fabric is just poor quality.",durability,Negative,premature fabric fraying at the collar
171,"These shoes are so light I literally forgot I was wearing them. For a long-distance walker like me, reducing that extra weight is essential to prevent leg fatigue toward the end of the day.",comfort,Positive,lightweight construction prevents fatigue
172,"The heel is way too chunky and makes the shoe feel back-heavy. When I try to run, it feels like I'm dragging a weight behind me rather than having a natural stride.",design,Negative,poorly balanced and heavy heel design
173,"The ""Midnight Blue"" is stunning; it has a subtle iridescent sheen that only shows up in direct sunlight. It’s much more premium-looking than I expected for the price.",color,Positive,premium iridescent color effect
174,"I'm returning these because the sizing is just too unpredictable. I ordered a 10, a 10.5, and an 11, and none of them felt ""right."" The 10.5 was shorter than the 10! I’m done with this brand until they fix their factory.",sizing,Negative,high variance and inconsistency in sizing
175,"The $120 price tag is fair, but when you add in the $15 for shipping and the fact that I have to pay for my own return labels, the value proposition drops significantly.",price/value,Neutral,shipping and return costs hurt overall value
176,"After a single wash on a gentle cycle, the internal foam in the tongue bunched up and won't go back to its original shape. It now feels lumpy and uncomfortable against the top of my foot.",durability,Negative,internal components failing after cleaning
177,"The breathability of the knit upper is fantastic. My feet usually sweat a lot in synthetic sneakers, but these stay cool and dry even during high-intensity interval training.",comfort,Positive,excellent ventilation and moisture control
178,"The aesthetics are a bit too ""dad shoe"" for me. I thought they would look more modern based on the website, but in person, they are very clunky and the proportions are just off.",design,Negative,"unattractive clunky ""dad shoe"" aesthetic"
179,I’ve had these for six months and they still look and feel like they did on day one. Whatever rubber compound they used for the sole is incredibly resilient to concrete surfaces.,durability,Positive,excellent long-term outsole resilience
180,"I ordered the grey, but it has a very distinct purple undertone that wasn't visible in the product photos. It clashes with almost everything I own, so I'll be swapping them for the black version.",color,Negative,unexpected color undertones
181,"The fit is very snug, which is great for athletic movements, but there's a hard plastic piece in the arch that digs into my foot. It’s a shame because everything else about the sizing is spot on.",sizing,Negative,internal structural components causing fit issues
182,"Considering the high-quality leather and the hand-stitched details, these are an absolute steal. You'd usually pay double this for this kind of craftsmanship from a boutique brand.",price/value,Positive,high craftsmanship for a reasonable price
183,"The padding in the heel is already going flat after only 50 miles of running. I expected the foam to be much more durable and maintain its ""squish"" for at least a few hundred miles.",comfort,Negative,rapid foam compression and loss of comfort
184,"The minimalist look is exactly what I was searching for. No huge logos or neon colors—just a clean, simple silhouette that goes with anything from jeans to dress slacks.",design,Positive,clean and versatile minimalist design
185,"The stitching on the toe cap started unraveling after my first rainy walk. It seems like the thread they used isn't meant to get wet, which is ridiculous for an outdoor sneaker.",durability,Negative,stitching failure when exposed to moisture
186,"I love that these come in a true ""Extra Wide"" option. Usually, ""wide"" shoes are still too narrow for me, but Nima actually built a wider base for this model, and it fits perfectly.",sizing,Positive,true extra-wide sizing availability
187,"The ""Neon Green"" is actually a very dull, pea-green color. It lacks the vibrancy shown in the ads and looks very cheap and dated in person.",color,Negative,dull and unattractive color saturation
188,The price is a bit steep for a brand that is still relatively new in the performance space. I’d be more willing to pay this much for an established brand with a better track record for longevity.,price/value,Neutral,high price for an unproven brand
189,These shoes have zero break-in period. I took them straight from the box to a 10-hour shift on my feet and didn't have a single ache or blister. Truly impressive comfort.,comfort,Positive,immediate comfort with no break-in required
190,"The laces are constantly coming undone because the material is too slick. I have to double-knot them just to go for a short walk, which is a minor but persistent annoyance.",design,Negative,slick lace material prevents secure knots
191,"The internal heel counter is collapsing already, which makes the shoe feel like it's sliding off my foot. It seems like the plastic used for support is too thin and weak.",durability,Negative,structural failure of the heel counter
192,"These run at least a half-size larger than other Nima models I've owned in the past. If you're ordering online, definitely size down or you'll be swimming in them.",sizing,Negative,inconsistent sizing compared to previous models
193,"The color is a perfect match for the team jerseys I bought them for. It’s a very difficult shade of teal to get right, but Nima nailed the accuracy this time.",color,Positive,excellent color accuracy for specific shades
194,"For a basic gym shoe, $140 is a lot of money. They're fine, but they don't do anything better than the $80 pair I replaced. You’re definitely paying for the marketing here.",price/value,Negative,poor value compared to lower-priced alternatives
195,The design of the tongue is weirdly long and it pokes into the front of my ankle every time I take a step. I’ve had to fold it down just to stop the irritation.,design,Negative,poorly designed tongue causes ankle irritation
196,"The grip on these is insane. I've used them on wet grass and slippery gym floors and haven't felt a single slip. The rubber is very ""tacky"" and inspires a lot of confidence.",durability,Positive,high-traction rubber compound for safety
197,"I’m a big fan of the soft-touch foam. It feels premium and doesn't have that ""chemical"" smell that a lot of new sneakers have when you first open the box.",comfort,Positive,high-quality materials with no off-gassing smell
198,"The size 13 feels more like a 12. My toes are pressed right up against the front, and there’s no way I could wear these for more than five minutes without pain. I'm returning them for a refund.",sizing,Negative,significant undersizing in larger sizes
199,The mesh is starting to pull away from the midsole after just a week. It looks like the glue didn't bond properly to the fabric during the manufacturing process.,durability,Negative,bonding failure between mesh and midsole
200,"I love the subtle geometric pattern on the side of the shoe. It adds a bit of visual interest without being distracting or making the shoe look too ""busy.""",design,Positive,subtle and sophisticated pattern design
201,"The color is exactly as pictured, which is rare these days. A nice, deep navy that looks professional and doesn't show scuffs easily.",color,Positive,accurate color representation and scuff hiding
202,"I feel like the arch is in the wrong place for my foot. It sits too far back toward the heel, which makes it feel like there's a lump in my shoe all day. Returning for a different brand.",sizing,Negative,poorly positioned arch support
203,These are surprisingly durable for how thin the material feels. I’ve caught them on several sharp rocks while hiking and the fabric didn't rip or tear at all.,durability,Positive,high-strength material despite being thin
204,"The design is very futuristic and I get a lot of questions about them at the airport. If you like being noticed, these are the shoes for you.",design,Positive,bold and attention-grabbing futuristic design
205,"At $90, these are the best value on the market right now. You get a solid, dependable trainer that can handle a variety of workouts without breaking the bank.",price/value,Positive,excellent budget-friendly gym trainer
206,"The foam in the forefoot is too thin. I can feel every pebble I step on, which makes walking on gravel quite painful. It needs a thicker stack height in the front.",comfort,Negative,insufficient forefoot cushioning
207,"I ordered the 4E wide and it’s still too narrow. Nima's ""wide"" fits like a standard ""medium"" in any other brand. Very misleading labeling.",sizing,Negative,inaccurate wide-width labeling
208,"I love the ""All-Black"" look; even the logos and the midsole are blacked out. It’s perfect for my job where I have to wear black shoes but want to stay comfortable.",color,Positive,"high-quality ""triple black"" aesthetic"
209,The sole is already starting to crumble into little black pieces after a week of indoor gym use. This shouldn't happen with a brand-new shoe; the rubber must be defective.,durability,Negative,rubber sole material is disintegrating/crumbling
210,"The design is way too narrow in the heel, which makes me feel like I’m going to roll my ankle every time I turn a corner. It lacks a stable base.",design,Negative,narrow heel base causes stability issues
211,These are worth every cent for the comfort alone. I suffer from chronic back pain and these are the only shoes that allow me to walk for more than an hour without discomfort.,price/value,Positive,therapeutic value justifies the price
212,"The inner heel fabric wore through in less than two weeks, exposing the hard plastic underneath. This is a common failure point in cheap shoes, but I expected better from Nima.",durability,Negative,rapid wear-through of internal heel fabric
213,"I had to return these because they are just too loud. They make a ""clicking"" sound on hard floors that is extremely annoying in a quiet office setting.",comfort,Negative,noisy clicking sound on hard surfaces
214,"The sizing is perfect for me. I have a narrow foot and it’s usually hard to find something that doesn't feel sloppy, but these provide a great ""locked-in"" feel.",sizing,Positive,excellent fit for narrow-footed customers
215,"The ""Burnt Orange"" turned out to be more of a ""Safety Cone Orange."" It’s much more fluorescent than the earthy tone shown on the website.",color,Negative,neon color mismatch vs. earthy website photos
216,"After just one run, the laces started fraying where they rub against the eyelets. It looks like the eyelets have sharp edges that are cutting into the laces.",durability,Negative,sharp eyelets causing lace damage
217,The design is very ergonomic; you can tell they studied the natural shape of the foot when they designed the upper. It flexes exactly where it should.,design,Positive,ergonomic design with natural flex points
218,"$160 for a shoe made of recycled materials seems a bit contradictory. I support the environment, but it feels like they are charging a ""green tax"" on top of an already high price.",price/value,Neutral,skepticism regarding premium for recycled materials
219,"The tongue is padded just enough to prevent lace bite without being too bulky. It’s a very fine balance that most brands get wrong, but Nima nailed it.",comfort,Positive,perfect tongue padding prevents lace bite
220,The sizing is so small I had to go up a full size and a half just to get my foot in. I’ve never had to do that with any other brand in my life.,sizing,Negative,extreme undersizing requires multiple size jumps
221,"The glue marks around the midsole are very obvious and look messy. For a premium shoe, I expected a much cleaner finish than this.",durability,Negative,poor aesthetic finish and visible glue marks
222,"I love the semi-transparent sole; it’s a cool design touch that you don't see very often. It gives the shoe a very modern, ""techy"" look.",design,Positive,unique semi-transparent sole design
223,"The color hasn't faded even after several washes in the machine. I usually air-dry them, and they still look as black as the day I bought them.",color,Positive,colorfast material stays dark after washing
224,"These are a bit overpriced for what you get. The technology isn't anything new, and you can get basically the same shoe for $40 less from a competitor.",price/value,Negative,uncompetitive pricing for older technology
225,"The heel cup is very shallow, so my foot feels like it’s going to pop out with every step. I’ve tried different lacing techniques, but nothing helps.",comfort,Negative,shallow heel cup leads to heel slippage
226,"I found the sizing to be spot on. I'm a 10 in every other brand, and the 10 in these Nimas fits me like a glove.",sizing,Positive,consistent sizing with other major brands
227,The rubber on the side of the shoe is already cracking. It looks like the material is too brittle and can't handle the constant flexing of walking.,durability,Negative,brittle material cracking at flex points
228,"The design is very sleek and doesn't look like a typical ""running shoe,"" which I appreciate for my commute to work. It blends in well with my attire.",design,Positive,"sleek, non-traditional athletic silhouette"
229,"The ""Rose Gold"" accents are a bit more of a ""Copper"" or ""Bronze"" in person. It’s still pretty, but not exactly the pinkish-gold I was looking for.",color,Neutral,slight color variation in metallic accents
230,"These are an amazing value for under $100. They have more cushioning than some of the ""max cushion"" shoes I've paid $160 for in the past.",price/value,Positive,high value for cushioning at a low price
231,The fabric is very rough and caused a lot of friction on the top of my foot. I have to wear very thick socks just to keep it from rubbing my skin raw.,comfort,Negative,abrasive fabric causing skin friction
232,"I ordered my usual size and it fits okay, but it’s a bit tight with thicker athletic socks. I'd recommend going up a half size if you don't like a tight fit.",sizing,Neutral,sizing is tight when wearing thick socks
233,One of the lace loops pulled right out of the fabric the second time I tied them. It wasn't even stitched in properly. Very poor quality control.,durability,Negative,detached lace loop due to poor stitching
234,The design is a bit too loud for my taste. There are too many different patterns and colors going on at once; it’s a bit of an eyesore.,design,Negative,overly busy and clashing design patterns
235,The color is very vibrant and has stayed that way even after being out in the sun for several hours a day during my marathon training.,color,Positive,UV-resistant and vibrant color quality
236,"I feel like I'm paying a premium for a brand that isn't really ""premium"" yet. The quality feels more like a mid-range shoe from a decade ago.",price/value,Negative,brand premium not backed by modern quality
237,"The foam is very responsive and gives me a nice little ""pop"" with every step. It’s perfect for speed work or shorter, faster runs.",comfort,Positive,"responsive foam ""pop"" for speed workouts"
238,The sizing is very inconsistent. I tried on three pairs of the same size in the store and they all felt slightly different. I don't trust ordering these online.,sizing,Negative,high manufacturing variance within the same size
239,"The mesh started tearing where it meets the sole after just 100 miles. For a $150 shoe, I expected to get at least 300-400 miles out of them.",durability,Negative,premature mesh tearing at high-stress points
240,I love the minimalist design; it’s very easy to keep clean and doesn't have a bunch of unnecessary plastic pieces that could break off.,design,Positive,durable and easy-to-clean minimalist design
241,"The color is a bit more muted than I expected, but I actually prefer it. It looks more like a natural, earthy tone than a bright synthetic one.",color,Positive,"preferred muted, natural color tones"
242,"At $200, these should be perfect, but they have several small flaws that make them feel like a prototype rather than a finished product.",price/value,Negative,high price not justified by product polish
243,"The arch support is a bit too aggressive for my flat feet. It feels like there’s a golf ball inside my shoe, which becomes very painful after a while.",comfort,Negative,overly aggressive arch support for flat feet
244,The size 12 fits exactly like every other Nima shoe I've bought in the last five years. I'm glad they haven't changed their sizing standard.,sizing,Positive,consistent sizing across the Nima brand line
245,The sole is incredibly tough. I’ve been wearing these for six months on gravel trails and the lugs still look almost brand new.,durability,Positive,extreme outsole durability on rough terrain
246,"The design is very ""clunky"" and makes me feel like I’m wearing bricks on my feet. It’s not a very flattering or athletic look.",design,Negative,clunky and heavy aesthetic lacks athleticism
247,"The color is very unique—a sort of ""petrol blue"" that changes slightly depending on the light. I get a lot of compliments on them.",color,Positive,unique and dynamic color-shifting effect
248,These are a great value for someone who just needs a comfortable shoe for walking the dog or doing errands. They don't need to be fancy.,price/value,Positive,"good value for casual, low-impact use"
249,"The heel is too soft and collapses when I try to run, which makes the shoe feel very unstable and has caused some minor ankle strain.",comfort,Negative,overly soft heel leads to instability and strain
250,I’m returning these because the left shoe is noticeably wider than the right shoe. It feels like they were made in two different factories.,sizing,Negative,mismatched width between left and right shoe
